アーチェリー,あーちぇりー
アメダス,あめだす
アメフト,あめふと
雨降,あめふらし
アメリカ,あめりか
菖蒲,あやめ
鮎,あゆ
粗,あら
アラーム,あらーむ
アライグマ,あらいぐま
洗い場,あらいば
荒海,あらうみ
荒稼ぎ,あらかせぎ
粗探し,あらさがし
嵐,あらし
新手,あらて
荒波,あらなみ
アラビア語,あらびあご
アラビア数字,あらびあすうじ
荒巻き,あらまき
あらまし,あらまし
荒物,あらもの
霰,あられ
蟻,あり
有り明け,ありあけ
アリーナ,ありーな
在りか,ありか
有り金,ありがね
有り様,ありさま
在りし日,ありしひ
アルカリ,あるかり
アルコール,あるこーる
アルゴリズム,あるごりずむ
アルジェ,あるじぇ
アルジェリア,あるじぇりあ
アルゼンチン,あるぜんちん
アルバニア,あるばにあ
アルバム,あるばむ
アルミニウム,あるみにうむ
アルメニア,あるめにあ
荒れ地,あれち
荒れ野,あれの
アレルギー,あれるぎー
アロエ,あろえ
アロマ,あろま
アロワナ,あろわな
泡,あわ
合わせ鏡,あわせかがみ
あわび,あわび
泡盛,あわもり
暗,あん
暗雲,あんうん
暗記,あんき
アンクレット,あんくれっと
アンケート,あんけーと
案件,あんけん
餡子,あんこ
暗号化,あんごうか
アンコール,あんこーる
アンゴラ,あんごら
あんさん,あんさん
安産,あんざん
アンサンブル,あんさんぶる
暗室,あんしつ
安心,あんしん
杏,あんず
安全,あんぜん
安息,あんそく
安息日,あんそくび
安打,あんだ
アンタナナリボ,あんたななりぼ
安置,あんち
安定,あんてい
暗転,あんてん
安堵,あんど
アンドラ,あんどら
行灯,あんどん
案内,あんない
案内所,あんないじょ
アンテナ,あんなてな
安寧,あんねい
あんパン,あんぱん
アンビション,あんびしょん
アンマン,あんまん
あんみつ,あんみつ
アンモナイト,あんもないと
アンモニア,あんもにあ
暗躍,あんやく
あんよ,あんよ
威圧,いあつ
慰安,いあん
言い種,いいぐさ
言い過ぎ,いいすぎ
イースト菌,いーすときん
言い成り,いいなり
言い値,いいね
言い分,いいぶん
言い訳,いいわけ
医院,いいん
家,いえ
家柄,いえがら
胃液,いえき
イエス,いえす
家出,いえで
家並み,いえなみ
イエメン,いえめん
家元,いえもと
イエローカード,いえろーかーど
以遠,いえん
硫黄,いおう
庵,いおり
イオン,いおん
いか,いか
毬,いが
遺骸,いがい
威嚇,いかく
医学,いがく
医学部,いがくぶ
いかさま,いかさま
筏,いかだ
鋳型,いがた
錨,いかり
移管,いかん
依願,いがん
遺棄,いき
威儀,いぎ
生き埋め,いきうめ
生き餌,いきえ
生きがい,いきがい
行き掛け,いきがけ
息切れ,いきぎれ
行き先,いきさき
いきさつ,いきさつ
生き様,いきざま
息継ぎ,いきつぎ
息抜き,いきぬき
息の根,いきのね
生き仏,いきぼとけ
生き物,いきもの
イギリス,いぎりす
いきれ,いきれ
幾,いく
育英,いくえい
戦,いくさ
藺草,いぐさ
行く先,いくさき
育成,いくせい
いくら,いくら
遺訓,いくん
池,いけ
畏敬,いけい
生け垣,いけがき
生け簀,いけす
池田,いけだ
生け贄,いけにえ
生け花,いけばな
池袋,いけぶくろ
意見,いけん
威厳,いげん
以後,いご
異国,いこく
居心地,いごこち
遺骨,いこつ
遺恨,いこん
委細,いさい
諍い,いさかい
居酒屋,いざかや
遺作,いさく
いざこざ,いざこざ
勇み足,いさみあし
十六夜,いざよい
漁り火,いさりび
胃酸,いさん
医師,いし
石井,いしい
石臼,いしうす
石おの,いしおの
石垣,いしがき
石川,いしかわ
意識,いしき
石ころ,いしころ
石田,いしだ
石畳,いしだたみ
石段,いしだん
石橋,いしばし
医者,いしゃ
石綿,いしわた
威信,いしん
椅子,いす
イスタンブール,いすたんぶーる
泉,いずみ
イスラエル,いすらえる
以西,いせい
移籍,いせき
伊勢丹,いせたん
移設,いせつ
緯線,いせん
以前,いぜん
磯,いそ
急ぎ足,いそぎあし
イソギンチャク,いそぎんちゃく
磯松,いそまつ
依存,いぞん
板,いた
遺体,いたい
医大,いだい
板壁,いたかべ
委託,いたく
致し方,いたしかた
いたずら,いたずら
いたち,いたち
痛手,いたで
韋駄天,いだてん
板の間,いたのま
板挟み,いたばさみ
板張り,いたばり
板前,いたまえ
イタリア,いたりあ
異端,いたん
位置,いち
一案,いちあん
一意,いちい
一員,いちいん
一丸,いちがん
移築,いちく
一群,いちぐん
一撃,いちげき
一言,いちげん
一期,いちご
一座,いちざ
一時間,いちじかん
イチジク,いちじく
一族,いちぞく
一存,いちぞん
一団,いちだん
一読,いちどく
一男,いちなん
一任,いちにん
一念,いちねん
市場,いちば
一部,いちぶ
一部分,いちぶぶん
一抹,いちまつ
一味,いちみ
一命,いちめい
一目,いちもく
一門,いちもん
一夜,いちや
一翼,いちよく
一覧,いちらん
一理,いちり
一輪車,いちりんしゃ
一礼,いちれい
いつ,いつ
一戸建て,いっこだて
何時頃,いつごろ
逸材,いつざい
逸脱,いつだつ
逸話,いつわ
出で立ち,いでたち
移転,いてん
遺伝,いでん
遺伝子,いでんし
意図,いと
井戸,いど
伊藤,いとう
威徳,いとく
糸口,いとぐち
従兄弟,いとこ
居所,いどころ
井戸端,いどばた
糸偏,いとへん
いとま,いとま
暇乞い,いとまごい
糸目,いとめ
否,いな
以内,いない
田舎,いなか
稲子,いなご
稲作,いなさく
稲田,いなだ
稲束,いなたば
稲光,いなびかり
稲穂,いなほ
稲叢,いなむら
いなり,いなり
以南,いなん
古,いにしえ
委任,いにん
戌,いぬ
犬橇,いぬぞり
稲,いね
稲刈り,いねかり
稲扱き,いねこき
井上,いのうえ
猪,いのしし
命,いのち
命掛け,いのちがけ
命乞い,いのちごい
命取り,いのちとり
イノベーション,いのべーしょん
違背,いはい
茨,いばら
茨城,いばらき
違反,いはん
いびき,いびき
遺品,いひん
畏怖,いふ
息吹,いぶき
衣服,いふく
胃袋,いぶくろ
燻し銀,いぶしぎん
異物,いぶつ
異変,いへん
異母,いぼ
以北,いほく
今,いま
今頃,いまごろ
今時,いまどき
意味,いみ
意味合い,いみあい
移民,いみん
医務,いむ
イメージ,いめーじ
芋,いも
妹,いもうと
鋳物,いもの
芋虫,いもむし
井守,いもり
慰問,いもん
嫌気,いやき
意訳,いやく
イヤホン,いやほん
イヤリング,いやりんぐ
意欲,いよく
依頼,いらい
甍,いらか
イラク,いらく
イラン,いらん
入り海,いりうみ
入り江,いりえ
入り口,いりぐち
入り日,いりひ
医療,いりょう
医療制度,いりょうせいど
衣類,いるい
海豚,いるか
居留守,いるす
慰霊,いれい
入れ歯,いれば
入れ物,いれもの
色,いろ
色合い,いろあい
色鉛筆,いろえんぴつ
色気,いろけ
色艶,いろつや
いろは,いろは
色町,いろまち
いろり,いろり
色分け,いろわけ
異論,いろん
岩,いわ
祝,いわい
違和感,いわかん
曰く,いわく
岩国,いわくに
いわし,いわし
岩手,いわて
岩魚,いわな
岩場,いわば
岩肌,いわはだ
岩屋,いわや
岩山,いわやま
謂われ,いわれ
印,いん
陰影,いんえい
引火,いんか
因果,いんが
印画紙,いんがし
印鑑,いんかん
インク,いんく
イングランド,いんぐらんど
隠元,いんげん
鸚哥,いんこ
隠語,いんご
インサート,いんさーと
インサイド,いんさいど
印刷,いんさつ
印紙,いんし
インストール,いんすとーる
院政,いんせい
印税,いんぜい
引責,いんせき
引率,いんそつ
インターネット,いんたーねっと
インターホン,いんたーほん
引退,いんたい
インタビュー,いんたびゅー
インデックス,いんでっくす
インド,いんど
隠匿,いんとく
インドネシア,いんどねしあ
インド洋,いんどよう
隠遁,いんとん
インナー,いんなー
因縁,いんねん
インフラ,いんふら
インプラント,いんぷらんと
インフルエンザ,いんふるえんざ
インベーダー,いんべーだー
インポート,いんぽーと
韻律,いんりつ
陰暦,いんれき
ヴァイオリン,ゔぁいおりん
ウイルス,ういるす
ウール,うーる
烏龍茶,うーろんちゃ
上,うえ
植木,うえき
植木鉢,うえきばち
植え込み,うえこみ
上田,うえだ
上野,うえの
魚,うお
魚市場,うおいちば
魚河岸,うおがし
ウォッカ,うぉっか
羽化,うか
迂回,うかい
含嗽,うがい
右岸,うがん
ウガンダ,うがんだ
雨季,うき
浮き草,うきくさ
浮き雲,うきぐも
浮き袋,うきぶくろ
浮き彫り,うきぼり
憂き身,うきみ
憂き目,うきめ
浮き世,うきよ
鶯,うぐいす
ウクレレ,うくれれ
受け売り,うけうり
請負,うけおい
受け皿,うけざら
受付,うけつけ
受取,うけとり
右舷,うげん
うさぎ,うさぎ
丑,うし
牛飼い,うしかい
牛蛙,うしがえる
牛偏,うしへん
後ろ,うしろ
後ろ足,うしろあし
後ろ髪,うしろがみ
後ろ盾,うしろだて
後ろ手,うしろで
臼,うす
渦,うず
雨水,うすい
薄紙,うすがみ
薄着,うすぎ
薄切り,うすぎり
薄曇り,うすぐもり
渦潮,うずしお
薄日,うすび
ウズベキスタン,うずべきすたん
薄緑,うすみどり
羅,うすもの
右折,うせつ
嘘,うそ
嘘吐き,うそつき
歌,うた
歌合,うたあわせ
謡,うたい
歌い手,うたいて
泡沫,うたかた
歌声,うたごえ
転寝,うたたね
歌姫,うたひめ
内,うち
討ち入り,うちいり
内祝い,うちいわい
内々,うちうち
内海,うちうみ
打ち掛け,うちかけ
内掛け,うちがけ
内側,うちがわ
内田,うちだ
内高,うちだか
打ち止め,うちどめ
内法,うちのり
内幕,うちまく
内股,うちまた
打ち身,うちみ
宇宙人,うちゅうじん
宇宙線,うちゅうせん
内輪,うちわ
内訳,うちわけ
鬱,うつ
現,うつつ
打つ手,うつて
宇都宮,うつのみや
うつ伏せ,うつぶせ
ウツボ,うつぼ
器,うつわ
腕,うで
腕利き,うできき
腕組み,うでぐみ
腕比べ,うでくらべ
腕試し,うでだめし
腕時計,うでどけい
腕前,うでまえ
雨天,うてん
うど,うど
うどん,うどん
うなぎ,うなぎ
海原,うなばら
うに,うに
畝,うね
鵜呑み,うのみ
右派,うは
乳母,うば
産着,うぶぎ
産毛,うぶげ
産声,うぶごえ
産湯,うぶゆ
右辺,うへん
午,うま
馬乗り,うまのり
海,うみ
海亀,うみがめ
海鳥,うみどり
海鳴り,うみなり
海猫,うみねこ
海開き,うみびらき
海辺,うみべ
海蛇,うみへび
有無,うむ
梅,うめ
呻き声,うめきごえ
埋め草,うめくさ
梅酒,うめしゅ
梅田,うめだ
梅干し,うめぼし
埋もれ木,うもれぎ
紆余,うよ
右翼,うよく
浦,うら
裏打ち,うらうち
裏表,うらおもて
裏書き,うらがき
裏方,うらかた
裏金,うらがね
裏口,うらぐち
裏作,うらさく
裏手,うらて
占師,うらないし
裏庭,うらにわ
裏話,うらばなし
裏盆,うらぼん
裏町,うらまち
怨み,うらみ
裏道,うらみち
裏目,うらめ
裏門,うらもん
裏山,うらやま
ウラン,うらん
瓜,うり
売上,うりあげ
売り買い,うりかい
売り切れ,うりきれ
売り子,うりこ
売出,うりだし
売り手,うりて
売り値,うりね
売り場,うりば
売り物,うりもの
うるうる,うるうる
ウルグアイ,うるぐあい
うるさい,うるさい
煩型,うるさがた
漆,うるし
粳,うるち
うるるん,うるるん
売れ行き,うれゆき
鱗,うろこ
鱗雲,うろこぐも
上顎,うわあご
上書き,うわがき
上着,うわぎ
上薬,うわぐすり
囈言,うわごと
噂,うわさ
上滑り,うわすべり
上塗り,うわぬり
上値,うわね
上乗せ,うわのせ
上の空,うわのそら
上履き,うわばき
うわべ,うわべ
上役,うわやく
運,うん
運営,うんえい
運河,うんが
雲海,うんかい
うんこ,うんこ
運針,うんしん
雲水,うんすい
運勢,うんせい
うんち,うんち
運賃,うんちん
雲泥,うんでい
運転,うんてん
運転手,うんてんしゅ
運動,うんどう
運動会,うんどうかい
運動靴,うんどうぐつ
運動場,うんどうじょう
云々,うんぬん
運輸,うんゆ
運輸業,うんゆぎょう
エアコン,えあこん
エアロビクス,えあろびくす
映画,えいが
英会話,えいかいわ
映画館,えいがかんで
鋭角,えいかく
栄冠,えいかん
英気,えいき
影響,えいきょう
営業,えいぎょう
英語,えいご
英才,えいさい
栄進,えいしん
永世,えいせい
営繕,えいぜん
永続,えいぞく
栄達,えいたつ
詠嘆,えいたん
英断,えいだん
英単語,えいたんご
英知,えいち
栄転,えいてん
英文,えいぶん
衛兵,えいへい
永眠,えいみん
英名,えいめい
英訳,えいやく
栄誉,えいよ
栄養,えいよう
営利,えいり
営林,えいりん
英霊,えいれい
英和,えいわ
笑顔,えがお
絵描き,えかき
絵柄,えがら
液,えき
駅員,えきいん
液化,えきか
疫学,えきがく
液体,えきたい
駅伝,えきでん
駅ビル,えきびる
駅弁,えきべん
駅前,えきまえ
役務,えきむ
駅名,えきめい
疫痢,えきり
エクアドル,えくあどる
靨,えくぼ
エクレア,えくれあ
エコバッグ,えこばっぐ
餌,えさ
絵師,えし
エジプト,えじぷと
エスカレーター,えすかれーたー
エステサロン,えすてさろん
エストニア,えすとにあ
エスワティニ,えすわてぃに
絵空事,えそらごと
枝,えだ
枝打ち,えだうち
枝葉,えだは
枝豆,えだまめ
エチオピア,えちおぴあ
エチケット,えちけっと
悦,えつ
越年,えつねん
閲覧,えつらん
干支,えと
会得,えとく
江戸前,えどまえ
エネルギー,えねるぎー
絵の具,えのぐ
えび,えび
えびせん,えびせん
愛媛,えひめ
絵筆,えふで
エプロン,えぷろん
烏帽子,えぼし
絵本,えほん
絵馬,えま
絵巻,えまき
絵巻物,えまきもの
笑み,えみ
エメラルド,えめらるど
獲物,えもの
衣紋掛,えもんかけ
えら,えら
襟,えり
襟首,えりくび
襟ぐり,えりぐり
選り取り,えりどり
襟巻き,えりまき
エルサルバドル,えるさるばどる
エルサレム,えるされむ
エレクトーン,えれくとーん
エレベーター,えれべーたー
円,えん
遠因,えんいん
円売り,えんうり
遠泳,えんえい
演繹,えんえき
塩化,えんか
宴会,えんかい
塩害,えんがい
沿革,えんかく
えんがわ,えんがわ
沿岸,えんがん
延期,えんき
演技,えんぎ
縁起物,えんぎもの
遠近,えんきん
縁組み,えんぐみ
援軍,えんぐん
円形,えんけい
園芸,えんげい
演劇,えんげき
縁故,えんこ
援護,えんご
冤罪,えんざい
縁先,えんさき
塩酸,えんさん
演算,えんざん
遠視,えんし
エンジニア,えんじにあ
円周,えんしゅう
延伸,えんしん
円錐,えんすい
遠征,えんせい
宴席,えんせき
演説,えんぜつ
沿線,えんせん
塩素,えんそ
遠足,えんそく
延滞,えんたい
演題,えんだい
円高,えんだか
円卓,えんたく
円建て,えんだて
演壇,えんだん
円柱,えんちゅう
炎天,えんてん
塩田,えんでん
遠藤,えんどう
煙突,えんとつ
縁日,えんにち
炎熱,えんねつ
縁の下,えんのした
えんぴつ,えんぴつ
遠方,えんぽう
円安,えんやす
遠路,えんろ
お預け,おあずけ
甥,おい
追い打ち,おいうち
御家芸,おいえげい
老頭,おいがしら
追い風,おいかぜ
追い肥,おいごえ
老い先,おいさき
美味しい,おいしい
生い立ち,おいたち
御暇,おいとま
追い剥ぎ,おいはぎ
負い目,おいめ
花魁,おいらん
オイル,おいる
お祝い,おいわい
王,おう
応援,おうえん
王様,おうさま
王子,おうじ
王子様,おうじさま
往診,おうしん
横断歩道,おうだんほどう
応答,おうとう
黄熱病,おうねつびょう
応募,おうぼ
オウム,おうむ
お絵かき,おえかき
大分,おおいた
大きい,おおきい
オーケストラ,おーけすとら
大阪,おおさか
大阪市,おおさかし
オーストラリア,おーすとらりあ
オーストリア,おーすとりあ
太田,おおた
大津,おおつ
オートバイ,おーとばい
オートレース,おーとれーす
大とろ,おおとろ
オーブン,おーぶん
オーボエ,おーぼえ
オール,おーる
オーロラ,おーろら
丘,おか
御返し,おかえし
おかき,おかき
お陰,おかげ
お菓子,おかし
御方,おかた
岡田,おかだ
御構い,おかまい
女将,おかみ
阿亀,おかめ
岡本,おかもと
岡山,おかやま
陸湯,おかゆ
おから,おから
小川,おがわ
御代わり,おかわり
悪寒,おかん
沖,おき
沖合,おきあい
置き去り,おきざり
掟,おきて
翁,おきな
沖縄,おきなわ
置き場,おきば
御決まり,おきまり
置物,おきもの
奥,おく
屋外,おくがい
奥様,おくさま
奥さん,おくさん
憶測,おくそく
奥底,おくそこ
お口,おくち
おくて,おくて
屋内,おくない
御国,おくに
奥の手,おくのて
奥歯,おくば
おくび,おくび
御悔やみ,おくやみ
奥行き,おくゆき
小倉,おぐら
送り先,おくりさき
送り手,おくりて
送り火,おくりび
贈り物,おくりもの
送る,おくる
桶,おけ
御腰,おこし
御好み,おこのみ
お好み焼き,おこのみやき
怒る,おこる
おこわ,おこわ
御下がり,おさがり
御下げ,おさげ
幼子,おさなご
おさらい,おさらい
御産,おさん
お爺さん,おじいさん
押し入れ,おしいれ
押し売り,おしうり
教え子,おしえご
お辞儀,おじぎ
御七夜,おしちや
鴛鴦,おしどり
御忍び,おしのび
押し葉,おしば
押し花,おしばな
雄蘂,おしべ
おしぼり,おしぼり
おしまい,おしまい
お喋り,おしゃべり
お洒落,おしゃれ
お正月,おしょうがつ
おしり,おしり
お城,おしろ
雄,おす
汚水,おすい
お寿司,おすし
オスロ,おすろ
お世辞,おせじ
御節,おせち
お節料理,おせちりょうり
汚染,おせん
お煎餅,おせんべい
遅咲き,おそざき
御供え,おそなえ
遅蒔き,おそまき
御互い,おたがい
御宅,おたく
御立ち,おたち
おたふく,おたふく
お玉杓子,おたまじゃくし
オタワ,おたわ
落ち度,おちど
落ち葉,おちば
落ち穂,おちぼ
落ち目,おちめ
お茶,おちゃ
御告げ,おつげ
御釣り,おつり
御手,おて
御手上げ,おてあげ
お手洗い,おてあらい
汚泥,おでい
お出かけ,おでかけ
おでき,おでき
おでこ,おでこ
御手玉,おてだま
お手て,おてて
御点前,おてまえ
お出まし,おでまし
御手盛り,おてもり
お寺,おてら
汚点,おてん
おでん,おでん
おてんば,おてんば
音,おと
御伽,おとぎ
戯け者,おどけもの
男,おとこ
男君,おとこぎみ
男伊達,おとこだて
男手,おとこで
男泣き,おとこなき
男の子,おとこのこ
男湯,おとこゆ
音沙汰,おとさた
御年玉,おとしだま
おととい,おととい
おととし,おととし
大人,おとな
大人買い,おとながい
大人しい,おとなしい
乙女,おとめ
御供,おとも
囮,おとり
踊,おどり
踊り子,おどりこ
踊り場,おどりば
驚き,おどろき
同い年,おないどし
おなか,おなか
尾長鳥,おながどり
おなら,おなら
鬼,おに
鬼瓦,おにがわら
おにぎり,おにぎり
尾根,おね
斧,おの
己,おのれ
伯母,おば
御祖母,おばあ
お祖母さん,おばあさん
御萩,おはぎ
御化け,おばけ
お化け屋敷,おばけやしき
おはこ,おはこ
伯母さん,おばさん
御初,おはつ
お鼻,おはな
雄花,おばな
お花畑,おはなばたけ
御囃子,おはやし
御祓い,おはらい
帯,おび
御膝元,おひざもと
おひたし,おひたし
お引越し,おひっこし
お姫様,おひめさま
御開き,おひらき
尾鰭,おひれ
尾鰭,おびれ
御披露目,おひろめ
オフィスビル,おふぃすびる
御袋,おふくろ
御布施,おふせ
御触れ,おふれ
お風呂,おふろ
おへそ,おへそ
オペラ,おぺら
オペラハウス,おぺらはうす
朧雲,おぼろぐも
御盆,おぼん
オマーン,おまーん
御参り,おまいり
御前,おまえ
おまけ,おまけ
御祭り,おまつり
御守り,おまもり
お巡りさん,おまわりさん
お見合い,おみあい
御神酒,おみき
御輿,おみこし
お耳,おみみ
お土産,おみやげ
お宮参り,おみやまいり
御迎え,おむかえ
おむすび,おむすび
おむつ,おむつ
オムライス,おむらいす
汚名,おめい
おめかし,おめかし
御召し,おめし
御目玉,おめだま
おめでた,おめでた
御目見得,おめみえ
おめめ,おめめ
思い出,おもいで
面影,おもかげ
重き,おもき
面差し,おもざし
重し,おもし
おもちゃ,おもちゃ
表,おもて
表書き,おもてがき
表沙汰,おもてざた
表向き,おもてむき
表門,おもてもん
面長,おもなが
重荷,おもに
趣,おもむき
面持ち,おももち
母屋,おもや
御守り,おもり
思惑,おもわく
親,おや
親方,おやかた
親子,おやこ
親心,おやごころ
親潮,おやしお
おやつ,おやつ
親分,おやぶん
女形,おやま
親元,おやもと
親指,おやゆび
お湯,おゆ
泳ぎ,およぎ
御呼ばれ,およばれ
御呼び,および
及び腰,およびごし
おら,おら
オランダ,おらんだ
おり,おり
オリーブ,おりーぶ
折り紙,おりがみ
折から,おりから
織り姫,おりひめ
折り目,おりめ
織物,おりもの
織り屋,おりや
オリンピック,おりんぴっく
オルガン,おるがん
俺,おれ
御礼,おれい
おれたち,おれたち
オレンジ,おれんじ
卸,おろし
卸し値,おろしね
おわび,おわび
終わり,おわり
終値,おわりね
恩,おん
音域,おんいき
音階,おんかい
恩返し,おんがえし
音楽,おんがく
音楽会,おんがくかい
音感,おんかん
恩義,おんぎ
音訓,おんくん
恩恵,おんけい
音源,おんげん
温故,おんこ
音叉,おんさ
恩師,おんし
温室,おんしつ
音信,おんしん
温水,おんすい
音声,おんせい
音節,おんせつ
温泉,おんせん
音速,おんそく
温存,おんぞん
温帯,おんたい
音痴,おんち
音程,おんてい
恩典,おんてん
温度,おんど
